name,Wikipedia Link,location,status,security,security_class_cleaned,capacity,capacity_cleaned,pop,pop_cleaned,pop_measured_time,opened,year_opened,Notes Section,closed,managed_by,director,built,built by
Toledo Correctional Institution,https://en.wikipedia.org/wiki/Toledo_Correctional_Institution,"2001 E Central Avenue Toledo, Ohio",open,Maximum,maximum,1208,1208,,905,2020,2000,2000,Population according to their COVID update 5.22.2020 https://coronavirus.ohio.gov/static/reports/DRCCOVID-19Information.pdf,,Ohio Department of Rehabilitation and Correction,,,
Oklahoma State Penitentiary,https://en.wikipedia.org/wiki/Oklahoma_State_Penitentiary,"McAlester, Oklahoma",operational,maximum to medium,maximum,764,834,"763 (as of April 10, 2017[1])",734,2020,1908; 112 years ago,1908,"Capacity and population from 5.18.20 report: http://doc.ok.gov/Websites/doc/images/Documents/Population/Count%20Sheet/2020/DOC%20OMS%20Count%20-%20May%2018,%202020.pdf",,Oklahoma Department of Corrections,,,
Oregon State Penitentiary,https://en.wikipedia.org/wiki/Oregon_State_Penitentiary,"Salem, Oregon, United States44°55′55″N 123°00′18″W﻿ / ﻿44.932°N 123.005°WCoordinates: 44°55′55″N 123°00′18″W﻿ / ﻿44.932°N 123.005°W",Operational,"maximum, male",maximum,"2,194",2194,,2046,2020,1851/1866,1866,Population from 5.1.2020 Report https://www.oregon.gov/doc/Documents/inmate-profile.pdf,,Oregon Department of Corrections (ODOC),,,
State Correctional Institution – Camp Hill,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Camp_Hill,"Lower Allen Township, Cumberland County, near Camp Hill, Pennsylvania",,,maximum,,3734,,2943,2020,,1977,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Fayette,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Fayette,"Luzerne Township, Fayette County,near Centerville, Washington County, Pennsylvania",Open,Maximum-Security,maximum,"2,034",2129,,1888,2020,"September, 2003",2003,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Forest,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Forest,"Marienville, Jenks Township,Forest County, Pennsylvania",,Maximum-Security,maximum,2309,2309,2389,2309,2020,"October, 2004",2004,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Frackville,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Frackville,"Ryan Township, Schuylkill County, Pennsylvania",,Maximum-Security,maximum,1192,1166,,1163,2020,1987,1987,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Greene,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Greene,"Franklin Twp, Greene Co, PA",Open,"Maximum security, Supermax",maximum,1853,1835,"1,717 (as of September 30, 2019)",1738,2020,"November 9, 1993",1993,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Huntingdon,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Huntingdon,"Smithfield Township, Huntingdon County, Pennsylvania",,Close-Security,maximum,,2079,,1895,2020,1889,1889,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Muncy,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Muncy,"Clinton Township, Lycoming County, Pennsylvania",,Close-security Maximum security,maximum,,1505,,1264,2020,1953[1],1953,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,Nancy Giroux,,
State Correctional Institution – Phoenix,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Phoenix,"Skippack Township, Pennsylvania",Operational,Supermax,maximum,3830,3421,,2967,2020,"July 9, 2018",2018,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
"United States Penitentiary, Allenwood","https://en.wikipedia.org/wiki/United_States_Penitentiary,_Allenwood","Gregg Township, Union County, near Allenwood, Pennsylvania",Operational,Maximum-security,maximum,,,923,631,2020,1993,1993,"Population from BOP site on 5.22.2020 
Could not find capacity. 
https://www.bop.gov/locations/institutions/alp/",,Federal Bureau of Prisons,,,
Anthony P. Travisono Intake Service Center,https://en.wikipedia.org/wiki/Anthony_P._Travisono_Intake_Service_Center,"Cranston, Rhode Island",open,maximum,maximum,1118,1148,,845,2019,1985 / renovated 1995,1985,"North wing added 1992. Renovated 1995
North wing capacity 784, average population from 2019 was 687. South wing capacity 364, average population from 2019 was 158. http://www.doc.ri.gov/administration/planning/docs/FY18-19%20Cap%20&%20Midnight%20Count.pdf",,Rhode Island Department of Corrections,,,
Broad River Correctional Institution,https://en.wikipedia.org/wiki/Broad_River_Correctional_Institution,"4460 Broad River Road Columbia, South Carolina",,,maximum,,1710,,1300,2020,1988,1988,Capacity and population as of 5.22.2020 http://www.doc.sc.gov/research/SystemOverview/population-report.pdf,,South Carolina Department of Corrections,,,
Camille Griffin Graham Correctional Institution,https://en.wikipedia.org/wiki/Camille_Griffin_Graham_Correctional_Institution,"4450 Broad River Road Columbia, South Carolina",open,,maximum,,705,,510,2020,1973,1973,"Women's Reception and Evaluation Center is also on site. Capacity 182, current population 168. 

Capacity and population as of 5.22.2020 http://www.doc.sc.gov/research/SystemOverview/population-report.pdf",,South Carolina Department of Corrections,,,
Lee Correctional Institution,https://en.wikipedia.org/wiki/Lee_Correctional_Institution,"990 Wisacky Highway Bishopville, South Carolina",,maximum security,maximum,1785,1574,,1366,2020,1993,1993,Capacity and population as of 5.22.2020 http://www.doc.sc.gov/research/SystemOverview/population-report.pdf,,South Carolina Department of Corrections,,,
Lieber Correctional Institution,https://en.wikipedia.org/wiki/Lieber_Correctional_Institution,"136 Wilborn Avenue Ridgeville, South Carolina",maximum,,maximum,1488,1206,,1117,2020,1986,1986,Capacity and population as of 5.22.2020 http://www.doc.sc.gov/research/SystemOverview/population-report.pdf,,South Carolina Department of Corrections,,,
McCormick Correctional Institution,https://en.wikipedia.org/wiki/McCormick_Correctional_Institution,"386 Redemption Way McCormick, South Carolina",open,maximum,maximum,1124,997,,902,2020,1987,1987,Capacity and population as of 5.22.2020 http://www.doc.sc.gov/research/SystemOverview/population-report.pdf,,South Carolina Department of Corrections,,,
Lois M. DeBerry Special Needs Facility - Nashville,https://en.wikipedia.org/wiki/Lois_M._DeBerry_Special_Needs_Facility,"Nashville, Tennessee",Operational,Maximum,maximum,736,786,,632,2020,1992,1992,Capacity and Population from April 2020 https://www.tn.gov/content/dam/tn/correction/documents/BedApril2020.pdf,,Tennessee Department of Correction,,,
Riverbend Maximum Security Institution - Nashville,https://en.wikipedia.org/wiki/Riverbend_Maximum_Security_Institution,"Nashville, Tennessee",Operational,,maximum,714,784,,743,2020,1989,1989,Capacity and Population from April 2020 https://www.tn.gov/content/dam/tn/correction/documents/BedApril2020.pdf,,Tennessee Department of Correction,"Tony Mays, Warden",,
Keen Mountain Correctional Center,https://en.wikipedia.org/wiki/Keen_Mountain_Correctional_Center,"State Route 629,Oakwood, VA 24631",open,maximum,maximum,1200,1200,,719,2020,1990,1990,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Warden: Clint Davis,Harold Clarke,,
Red Onion State Prison,https://en.wikipedia.org/wiki/Red_Onion_State_Prison,"Wise County, Virginia",Operational,Supermax,maximum,848,848,713[2] (as of July 2011),2020,,August 1998[3],1998,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,Harold Clarke,,
Wallens Ridge State Prison,https://en.wikipedia.org/wiki/Wallens_Ridge_State_Prison,"Big Stone Gap, Virginia",Operational,Level Five,maximum,,,1200,1092,2020,April 1999,1999,Might actually be a supermax security class. Could not find capacity. Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,,,
Mount Olive Correctional Complex,https://en.wikipedia.org/wiki/Mount_Olive_Correctional_Complex,"1 Mountainside Way Mount Olive, West Virginia",Open,Maximum,maximum,1030,1030,,1010,2019,1995,1995,Population per 2019 annual report: https://dcr.wv.gov/resources/Documents/FY2019%20ANNUAL%20REPORT%20WVDCR.pdf,,West Virginia Division of Corrections and Rehabilitation,,,
Columbia Correctional Institution,https://en.wikipedia.org/wiki/Columbia_Correctional_Institution_(Florida),"Portage, Wisconsin",Operational,Maximum,maximum,541,541,832 males (as of FY 2012),830,2018,May 1986,1986,Population changed per 2018 annual report: https://doc.wi.gov/Documents/OffenderInformation/AdultInstitutions/CCIAnnualReport.pdf,,Wisconsin Department of CorrectionsDivision of Adult Institutions,Susan Novak,,
Dodge Correctional Institution,https://en.wikipedia.org/wiki/Dodge_Correctional_Institution,"Waupun, Wisconsin",Operational,Maximum,maximum,1165,1165,"1,765 males (as of FY 2018[1])",1665,2019,1978,1978,Population changed per 2019 annual report: https://doc.wi.gov/Documents/OffenderInformation/AdultInstitutions/DCIAnnualReport.pdf,,Wisconsin Department of CorrectionsDivision of Adult Institutions,William Pollard,,
Green Bay Correctional Institution,https://en.wikipedia.org/wiki/Green_Bay_Correctional_Institution,"SE corner of Riverside Dr. and SR 172, Allouez, Wisconsin",Operational,Maximum,maximum,749,749,"1,062 males (daily average) (as of FY 2015[1])",1093,2018,"August 31, 1898",1898,Population changed per 2018 annual report: https://doc.wi.gov/Documents/OffenderInformation/AdultInstitutions/GBCIAnnualReport.pdf,,Wisconsin Department of Corrections,William Pollard,,
Waupun Correctional Institution,https://en.wikipedia.org/wiki/Waupun_Correctional_Institution,"200 S. Madison StWaupun, Wisconsin",,,maximum,,1240,,1263,2019,,1851,Added all info from https://doc.wi.gov/Documents/OffenderInformation/AdultInstitutions/WCIAnnualReport.pdf (no info originally transferred over from wikipedia),,,,1854,
Wyoming State Penitentiary,https://en.wikipedia.org/wiki/Wyoming_State_Penitentiary,"6th and Walnut Sts., Rawlins, Wyoming",,,maximum,,750,,,,,1901,"Moved locations in 1980. Closed original building and opened a new one in 2001 with ""pod"" layout because 1980 star/block layout was dangerous and a Coporal was killed. Can't find population info",,,,1894,
Kentucky State Penitentiary,https://en.wikipedia.org/wiki/Kentucky_State_Penitentiary,"Eddyville, Kentucky",Operational,"Maximum, Supermax",maximum,NA,,856 (as of 2015),865,,1889,1889,,,Kentucky Department of Corrections,,,
Chesapeake Detention Facility,https://en.wikipedia.org/wiki/Chesapeake_Detention_Facility,"401 East Madison Street Baltimore, Maryland",open,maximum / supermax,maximum,511,511,,,,1988,1988,,,Maryland Department of Public Safety and Correctional Services,,,
Crossroads Correctional Center,https://en.wikipedia.org/wiki/Crossroads_Correctional_Center,"1115 SE Pence Road Cameron, Missouri, United States",,Maximum security,maximum,1440,1440,,,,1997,1997,,2019,Missouri Department of Corrections,"Ronda Pash, Warden",,
Fulton Reception and Diagnostic Center,https://en.wikipedia.org/wiki/Fulton_Reception_and_Diagnostic_Center,"1393 Route OFulton, Missouri",Open,Maximum security,maximum,1508,1508,,,,1986,1986,,,Missouri Department of Corrections,,,
Jefferson City Correctional Center,https://en.wikipedia.org/wiki/Jefferson_City_Correctional_Center,"8200 No More Victims Road Jefferson City, Missouri",open,maximum,maximum,1996,1996,,,,2004,2004,,,Missouri Department of Corrections,,,
Potosi Correctional Center,https://en.wikipedia.org/wiki/Potosi_Correctional_Center,"11593 State Highway O Potosi, Missouri",open,"Maximum , Death Row",maximum,800,800,,,,1989,1989,,,Missouri Department of Corrections,,,
South Central Correctional Center,https://en.wikipedia.org/wiki/South_Central_Correctional_Center,"255 MO-32 Licking, Missouri",open,Maximum Security (C-5),maximum,1596,1596,,,,June 2000,2000,,,Missouri Department of Corrections,,,
Southeast Correctional Center,https://en.wikipedia.org/wiki/Southeast_Correctional_Center,"300 Pedro Simmons Drive Charleston, Missouri",open,maximum,maximum,1658,1658,,,,2001,2001,,,Missouri Department of Corrections,,,
New Jersey State Prison,https://en.wikipedia.org/wiki/New_Jersey_State_Prison,,Operational,Maximum,maximum,"1,819",1819,"1,620 (as of January 1, 2016)",1620,,1836(184 years ago),1836,,,New Jersey Department of Corrections,,,
Penitentiary of New Mexico,https://en.wikipedia.org/wiki/Penitentiary_of_New_Mexico,"Santa Fe, New Mexico",Operational,Maximum Security,maximum,,,790,790,,1885,1885,,,New Mexico Corrections Department,,,
Attica Correctional Facility,https://en.wikipedia.org/wiki/Attica_Correctional_Facility,"639 Exchange Street Attica, New York",Open,Max,maximum,2253,2253,,,,1931,1931,,,New York State Department of Corrections and Community Supervision,,,
Auburn Correctional Facility,https://en.wikipedia.org/wiki/Auburn_Correctional_Facility,"Auburn, New York",Open,Maximum security,maximum,1821,1821,,,,1818,1818,,,New York State Department of Corrections and Community Supervision,Timothy McCarthy (superintendent),,
Bedford Hills Correctional Facility,https://en.wikipedia.org/wiki/Bedford_Hills_Correctional_Facility_for_Women,"247 Harris Road Bedford Hills, New York, U.S.",open,maximum,maximum,921,921,,,,1901,1901,,,New York State Department of Corrections and Community Supervision,,,
Clinton Correctional Facility,https://en.wikipedia.org/wiki/Clinton_Correctional_Facility,"Dannemora, New York",Operational,Maximum,maximum,2959,2959,"2,865 (as of December 2003)",2865,,1845,1845,,,New York State Department of Corrections and Community Supervision,,,
Coxsackie Correctional Facility,https://en.wikipedia.org/wiki/Coxsackie_Correctional_Facility,"Coxsackie, New York, USA",Operational,Maximum B,maximum,900,900,,,,1935,1935,,,New York State Department of Corrections and Community Supervision,,,
Downstate Correctional Facility,https://en.wikipedia.org/wiki/Downstate_Correctional_Facility,"121 Red Schoolhouse Road Fishkill, New York",open,maximum,maximum,,,,,,1979,1979,,,New York State Department of Corrections and Community Supervision,,,
